Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 20.1, -0.235,-1.16, 10314125, -.2,
ADBE, Adobe Systems Incorporated, 71.42, -0.3,-0.42, 2470027, -.1,
AKAM, Akamai Technologies Inc., 62.925, 2.475,4.09, 2975282, .4,
ALXN, Alexion Pharmaceuticals Inc., 188.76, -4.83,-2.49, 974449, -.9,
ALTR, Altera Corporation, 35.25, 0.39,1.12, 2212875, .1,
AMZN, Amazon.com Inc., 327.82, 11.34,3.58, 8877216, 4.7,
AMGN, Amgen Inc., 157.68, -3.17,-1.97, 4504744, -2.1,
ADI, Analog Devices Inc., 50.62, 0.41,0.82, 1509856, .1,
AAPL, Apple Inc., 114.18, 1.36,1.21, 44059666, 1.1,
AMAT, Applied Materials Inc., 22.82, 0.2,0.88, 14874131, .2,
ADSK, Autodesk Inc., 59.66, 0.35,0.59, 1329306, .1,
ADP, Automatic Data Processing Inc., 84.75, -0.66,-0.77, 1852684, -.3,
AVGO, Avago Technologies Limited, 89.015, 1.57,1.8, 1294810, .4,
BIDU, Baidu Inc., 249.7, 5.61,2.3, 3637701, 1.4,
BBBY, Bed Bath &amp; Beyond Inc., 71.53, 0.36,0.51, 1850178, .1,
BIIB, Biogen Idec Inc., 305.43, -12.55,-3.95, 2557047, -2.7,
BRCM, Broadcom Corporation, 42.11, 0.32,0.77, 5737747, .2,
CHRW, C.H. Robinson Worldwide Inc., 73.07, -0.035,-0.05, 1150679, .0,
CA, CA Inc., 29.945, 0.135,0.45, 1946538, .1,
CTRX, Catamaran Corporation, 48.44, 0.21,0.44, 655663, .0,
CELG, Celgene Corporation, 104.05, -3.38,-3.15, 7861144, -1.2,
CERN, Cerner Corporation, 64.31, -0.22,-0.34, 973618, -.1,
CHTR, Charter Communications Inc., 152.1, -0.63,-0.41, 903752, -.1,
CHKP, Check Point Software Technologies Ltd., 76.39, -0.25,-0.33, 827985, .0,
CSCO, Cisco Systems Inc., 26.32, 0.64,2.49, 48666602, 3.0,
CTXS, Citrix Systems Inc., 66.09, 0.24,0.36, 1257350, .0,
CTSH, Cognizant Technology Solutions Corporation, 53.285, -0.105,-0.2, 2542214, -.1,
CMCSA, Comcast Corporation, 54.1, -0.2,-0.37, 10015446, -.4,
COST, Costco Wholesale Corporation, 138.48, -0.23,-0.17, 1598524, -.1,
