Symbol,Date,total,price
AAPL,2013-01-02,20017838,548.2619441866432
AAPL,2013-01-03,12619964,545.7324770208951
AAPL,2013-01-04,21228250,530.5452889716008
AAPL,2013-01-07,17291068,522.272106367191
AAPL,2013-01-08,16386493,525.63358507263
AAPL,2013-01-09,14561219,521.0473632867092
AAPL,2013-01-10,21502764,521.0551418807868
AAPL,2013-01-11,12565359,521.3499934535197
AAPL,2013-01-14,26219942,502.7617284332585
AAPL,2013-01-15,31313876,488.8987250044893
AAPL,2013-01-16,24784251,502.3340368818529
AAPL,2013-01-17,16278597,504.9268309715524
AAPL,2013-01-18,16901181,499.1681858561839
AAPL,2013-01-22,16525596,501.6214967561224
AAPL,2013-01-23,30960073,502.5519579880309
AAPL,2013-01-24,52296557,457.6037558858425
AAPL,2013-01-25,43197922,445.1446583119406
AAPL,2013-01-28,28093717,448.1772568887301
AAPL,2013-01-29,20396157,457.1431787329471
AAPL,2013-01-30,14903741,458.8932046934723
AAPL,2013-01-31,11419515,456.6458068524148
AAPL,2013-02-01,19263623,453.1704807527156
AAPL,2013-02-04,17040722,447.5292953332191
AAPL,2013-02-05,20481828,452.4938285711867
AAPL,2013-02-06,21203316,459.3717070444511
AAPL,2013-02-07,25172388,460.8454433112935
AAPL,2013-02-08,23100942,474.957860070184
AAPL,2013-02-11,18543630,480.8829625539576
AAPL,2013-02-12,21842056,473.1822973705532
AAPL,2013-02-13,16972003,468.1271586168451
AAPL,2013-02-14,12741815,467.860337769474
AAPL,2013-02-15,13997311,464.2807610852484
AAPL,2013-02-19,15565529,457.8773025574237
AAPL,2013-02-20,17009600,451.9182212012423
AAPL,2013-02-21,15978970,445.9477626794366
AAPL,2013-02-22,11809092,449.0446149020682
AAPL,2013-02-25,13302088,449.4718212094147
AAPL,2013-02-26,17910898,444.0017651585472
AAPL,2013-02-27,20984678,446.5554477453895
AAPL,2013-02-28,11526616,444.9474188060453
AAPL,2013-03-01,19723474,433.3496283893999
AAPL,2013-03-04,20813187,423.3854251542552
AAPL,2013-03-05,22801079,429.2683982035292
AAPL,2013-03-06,16437867,427.8316709558531
AAPL,2013-03-07,16749518,426.8355311153475
AAPL,2013-03-08,13990581,432.0268090440475
AAPL,2013-03-11,16937108,431.9544898577229
AAPL,2013-03-12,16644409,432.2086153606913
AAPL,2013-03-13,14495154,430.1454488911184
AAPL,2013-03-14,10852878,432.5012374552399
AAPL,2013-03-15,23149449,441.1337335032738
AAPL,2013-03-18,21651110,451.2388048444554
AAPL,2013-03-19,18794503,453.972187101726
AAPL,2013-03-20,11019020,452.085627541999
AAPL,2013-03-21,13816641,454.1535627965752
AAPL,2013-03-22,14120973,458.7372564465253
AAPL,2013-03-25,17871766,465.4452716184772
AAPL,2013-03-26,10511779,462.3117833489581
AAPL,2013-03-27,11825205,453.2482207011316
AAPL,2013-03-28,15811429,445.6203844366631
AAPL,2013-04-01,13900251,434.3692390907246
AAPL,2013-04-02,18925989,432.6564631157978
AAPL,2013-04-03,12967641,433.5608129660645
AAPL,2013-04-04,12797990,428.4275822154867
AAPL,2013-04-05,13695665,422.533462586222
AAPL,2013-04-08,10743763,424.9046322571131
AAPL,2013-04-09,10953754,425.3098455363426
AAPL,2013-04-10,13410589,432.7706565160959
AAPL,2013-04-11,11759550,434.355160153065
AAPL,2013-04-12,8566073,430.719997271487
AAPL,2013-04-15,11337692,423.1107008484829
AAPL,2013-04-16,10931629,423.8092013739398
AAPL,2013-04-17,33790070,406.2367646243062
AAPL,2013-04-18,23766265,395.4566460884762
AAPL,2013-04-19,21751709,393.2433985187021
AAPL,2013-04-22,15796946,396.7888849105201
AAPL,2013-04-23,24100517,408.1630086233029
AAPL,2013-04-24,34619812,403.6152459359043
AAPL,2013-04-25,13758308,409.8939026155475
AAPL,2013-04-26,28198380,414.48874074883
AAPL,2013-04-29,22857953,428.7152734028683
AAPL,2013-04-30,24680594,439.6212778108399
AAPL,2013-05-01,18066493,439.1986759905761
AAPL,2013-05-02,15069282,446.5539430941619
AAPL,2013-05-03,12906900,451.003131165115
AAPL,2013-05-06,17724145,459.7435924187025
AAPL,2013-05-07,17276281,459.1703894381096
AAPL,2013-05-08,16875387,462.7020376306742
AAPL,2013-05-09,14220421,459.4745434670677
AAPL,2013-05-10,11955560,453.4822049832366
AAPL,2013-05-13,11322941,455.4502964573607
AAPL,2013-05-14,15960787,448.3046208414275
AAPL,2013-05-15,26471020,430.7816055412661
AAPL,2013-05-16,21569506,431.5348515940449
AAPL,2013-05-17,15282664,434.2845450295902
AAPL,2013-05-20,16126262,441.1998903437516
AAPL,2013-05-21,16285192,439.6986090723936
AAPL,2013-05-22,15740246,443.960528027827
AAPL,2013-05-23,12588453,442.2987235111514
AAPL,2013-05-24,9893707,444.0790812338125
AAPL,2013-05-28,13766717,445.2629950144341
AAPL,2013-05-29,11789602,444.6731850070422
AAPL,2013-05-30,12618302,449.6528911884205
AAPL,2013-05-31,14218659,454.3242362936895
AAPL,2013-06-03,13281578,446.8817018058598
AAPL,2013-06-04,10393335,451.2695364281658
AAPL,2013-06-05,10334083,446.4186698945527
AAPL,2013-06-06,14907074,438.7793203652489
AAPL,2013-06-07,14431068,438.2441341539043
AAPL,2013-06-10,16082857,443.9638252536038
AAPL,2013-06-11,10205233,439.5357736708904
AAPL,2013-06-12,9478038,435.3376675350882
AAPL,2013-06-13,10222380,432.7930992896007
AAPL,2013-06-14,9711711,431.4744661751548
AAPL,2013-06-17,9813981,433.0601792234456
AAPL,2013-06-18,6969564,432.5018934689946
AAPL,2013-06-19,11119687,426.9572539369947
AAPL,2013-06-20,12741225,420.1866934724375
AAPL,2013-06-21,17234317,412.290642584797
AAPL,2013-06-24,17166002,402.2579258283648
AAPL,2013-06-25,11226498,402.1241002094781
AAPL,2013-06-26,13140539,398.7473291211875
AAPL,2013-06-27,12095923,396.6713569745181
AAPL,2013-06-28,20712675,394.7226665991773
AAPL,2013-07-01,13970295,408.0709688650655
AAPL,2013-07-02,16785882,417.043426119141
AAPL,2013-07-03,8604594,420.22703017836
AAPL,2013-07-05,9788680,418.0722436633316
AAPL,2013-07-08,10714340,414.2919964681711
AAPL,2013-07-09,12612629,418.0550021673311
AAPL,2013-07-10,10074572,421.8595813222568
AAPL,2013-07-11,11675347,425.5767690894361
AAPL,2013-07-12,9987759,426.4014799490558
AAPL,2013-07-15,8648215,428.8519324984229
AAPL,2013-07-16,7733481,428.1193052856212
AAPL,2013-07-17,7127552,430.2388168830847
AAPL,2013-07-18,7820165,432.9098286903534
AAPL,2013-07-19,9594259,427.2640669331548
AAPL,2013-07-22,7428428,427.2740399633777
AAPL,2013-07-23,13193759,426.3795508706513
AAPL,2013-07-24,21143954,440.9076748006153
AAPL,2013-07-25,8204110,438.2959182194744
AAPL,2013-07-26,7615869,438.961498117489
AAPL,2013-07-29,8871500,447.3693088611639
AAPL,2013-07-30,11117195,453.8227874077791
AAPL,2013-07-31,11612927,453.094660843111
AAPL,2013-08-01,7390736,455.4951684764064
AAPL,2013-08-02,9811119,459.8480648958674
AAPL,2013-08-05,11387396,467.4554999038089
AAPL,2013-08-06,11961077,466.6329964667414
AAPL,2013-08-07,10668700,464.1800703961385
AAPL,2013-08-08,9142534,460.8800350953709
AAPL,2013-08-09,9555778,456.1386896187438
AAPL,2013-08-12,13015170,464.6019669518047
AAPL,2013-08-13,31501150,482.6326319304439
AAPL,2013-08-14,27012953,499.0034650527271
AAPL,2013-08-15,17656084,498.0603264724516
AAPL,2013-08-16,12939810,501.1504647351715
AAPL,2013-08-19,18229983,510.5142293831332
AAPL,2013-08-20,12808166,504.1194207905077
AAPL,2013-08-21,11978255,504.0247748143089
AAPL,2013-08-22,8749941,502.2017111420398
AAPL,2013-08-23,7953742,501.0630159190044
AAPL,2013-08-26,11834613,505.9356598278002
AAPL,2013-08-27,15145557,493.8331262773642
AAPL,2013-08-28,10981104,492.0862019701362
AAPL,2013-08-29,8565340,494.1834686160889
AAPL,2013-08-30,9726501,488.5373048363742
AAPL,2013-09-03,11851267,492.6337615190905
AAPL,2013-09-04,12321254,499.0734642075562
AAPL,2013-09-05,8469461,496.5900827162735
AAPL,2013-09-06,12840179,496.099833642214
AAPL,2013-09-09,12167369,505.7609192916321
AAPL,2013-09-10,26543676,499.6372266148247
AAPL,2013-09-11,32100088,468.7488954810249
AAPL,2013-09-12,14430353,471.4185701362244
AAPL,2013-09-13,10672634,467.2046203377146
AAPL,2013-09-16,19593483,453.6852347201025
AAPL,2013-09-17,14263739,455.5946593694008
AAPL,2013-09-18,16316472,463.5414132279797
AAPL,2013-09-19,14549686,473.3562492239418
AAPL,2013-09-20,24976050,472.5490654176094
AAPL,2013-09-23,27229163,489.2779284963755
AAPL,2013-09-24,13132449,491.4013676802747
AAPL,2013-09-25,11319881,483.6865430429419
AAPL,2013-09-26,8489169,485.854717165849
AAPL,2013-09-27,8144247,482.4776899427764
AAPL,2013-09-30,9631528,477.8140121236008
AAPL,2013-10-01,12641015,485.0693838360615
AAPL,2013-10-02,10328186,488.5270371696254
AAPL,2013-10-03,11535203,484.9412913573536
AAPL,2013-10-04,9256216,481.47346020419
AAPL,2013-10-07,11153301,489.823839132042
AAPL,2013-10-08,10422052,484.791008180074
AAPL,2013-10-09,10786828,483.3718924230732
AAPL,2013-10-10,9950070,489.8669639617172
AAPL,2013-10-11,9562134,490.0577886251764
AAPL,2013-10-14,9355906,495.3030819944945
AAPL,2013-10-15,11431229,499.3283725030111
AAPL,2013-10-16,8967859,500.8444151455416
AAPL,2013-10-17,9357285,503.4698578588185
AAPL,2013-10-18,10376510,508.1012650686501
AAPL,2013-10-21,14219735,520.4154874049441
AAPL,2013-10-22,19089679,519.5482181738479
AAPL,2013-10-23,11786092,523.2505728712994
AAPL,2013-10-24,13742285,528.8719481622906
AAPL,2013-10-25,12084007,529.027399293173
AAPL,2013-10-28,19658889,525.9436662567236
AAPL,2013-10-29,22744053,526.3368774804553
AAPL,2013-10-30,12648671,523.6141075296198
AAPL,2013-10-31,10342175,524.1550382388485
AAPL,2013-11-01,10161472,519.9727505821579
AAPL,2013-11-04,8736719,523.2705373200907
AAPL,2013-11-05,10030285,525.8554212372791
AAPL,2013-11-06,7979106,521.0272266420926
AAPL,2013-11-07,9379300,517.6856635698023
AAPL,2013-11-08,9977929,518.2186739026808
AAPL,2013-11-11,8150319,517.9895945209295
AAPL,2013-11-12,7334921,520.8111469708352
AAPL,2013-11-13,7051561,519.7388240078882
AAPL,2013-11-14,10088865,526.6998102253679
AAPL,2013-11-15,11373850,526.0503714888864
AAPL,2013-11-18,8755432,522.5056582445129
AAPL,2013-11-19,7462101,520.3848977164561
AAPL,2013-11-20,6935114,517.4966959321878
AAPL,2013-11-21,9369509,517.5495488375874
AAPL,2013-11-22,9910524,520.26402438189
AAPL,2013-11-25,8195629,524.3563679514428
AAPL,2013-11-26,14338304,531.6381999533864
AAPL,2013-11-27,13085478,542.9258414398797
AAPL,2013-11-29,11348746,553.4086349554174
AAPL,2013-12-02,16401215,556.50956991605
AAPL,2013-12-03,16096572,561.6600000234187
AAPL,2013-12-04,14143780,564.4413059241266
AAPL,2013-12-05,15985245,570.9333753874714
AAPL,2013-12-06,12342692,563.1356892166318
AAPL,2013-12-09,11446219,566.5705603838267
AAPL,2013-12-10,10872400,564.8335325243171
AAPL,2013-12-11,12872297,564.7241188177894
AAPL,2013-12-12,9367474,562.2567742401548
AAPL,2013-12-13,11910091,555.9164450952616
AAPL,2013-12-16,10197009,559.6075572936128
AAPL,2013-12-17,8553571,556.1643621989934
AAPL,2013-12-18,20296653,545.7723250195477
AAPL,2013-12-19,11463467,546.2022372171707
AAPL,2013-12-20,15590501,549.4563453236801
AAPL,2013-12-23,17926833,567.0704461497947
AAPL,2013-12-24,5988105,568.4625260882905
AAPL,2013-12-26,7287173,565.4275643328587
AAPL,2013-12-27,8067681,560.8370060840193
AAPL,2013-12-30,9093264,554.4854450298457
AAPL,2013-12-31,7974250,559.6861952467564
ADBE,2013-01-02,6483720,38.27340841686831
ADBE,2013-01-03,3905904,37.94274999078171
ADBE,2013-01-04,3809296,37.9279275787286
ADBE,2013-01-07,3632022,37.96054638994984
ADBE,2013-01-08,3079605,38.00254965871239
ADBE,2013-01-09,4083098,38.53043056724085
ADBE,2013-01-10,3645200,38.49832130372493
ADBE,2013-01-11,3511299,38.14404053760394
ADBE,2013-01-14,3048550,38.03994742256936
ADBE,2013-01-15,2968005,38.21500387323944
ADBE,2013-01-16,2640633,37.92632770933235
ADBE,2013-01-17,4089414,37.86694341323297
ADBE,2013-01-18,5561330,37.67539533307761
ADBE,2013-01-22,2472825,37.83495396383042
ADBE,2013-01-23,3318399,38.13136789835576
ADBE,2013-01-24,2605540,38.30925397962154
ADBE,2013-01-25,3296358,38.3431479406749
ADBE,2013-01-28,3535251,38.23195932069093
ADBE,2013-01-29,2935850,38.36251915896107
ADBE,2013-01-30,2694331,38.12822188390854
ADBE,2013-01-31,3291710,37.94192962354801
ADBE,2013-02-01,2413337,38.30901897134967
ADBE,2013-02-04,2927955,38.15125591069708
ADBE,2013-02-05,2355596,38.39464874647786
ADBE,2013-02-06,2567260,38.46122821389497
ADBE,2013-02-07,3110222,37.93376844993141
ADBE,2013-02-08,5104545,39.13907160511672
ADBE,2013-02-11,2333712,38.67651746848662
ADBE,2013-02-12,3279424,38.91894645007266
ADBE,2013-02-13,2490936,38.89242440890605
ADBE,2013-02-14,5017109,38.62895547126298
ADBE,2013-02-15,2367880,38.56402907563025
ADBE,2013-02-19,2056485,38.85812296884545
ADBE,2013-02-20,3129378,38.97405147179291
ADBE,2013-02-21,2871439,38.48067886959734
ADBE,2013-02-22,2835481,38.51106119216951
ADBE,2013-02-25,2736660,38.65067412595576
ADBE,2013-02-26,2924950,38.35060133579726
ADBE,2013-02-27,5291807,39.37751247292249
ADBE,2013-02-28,3635815,39.61856115038115
ADBE,2013-03-01,2326899,39.59574221965021
ADBE,2013-03-04,2423323,40.14839695518303
ADBE,2013-03-05,4236512,41.24949537207684
ADBE,2013-03-06,2835416,41.32586599423632
ADBE,2013-03-07,2680276,41.42743506468918
ADBE,2013-03-08,3330208,41.53674556751835
ADBE,2013-03-11,4632354,41.31568612898399
ADBE,2013-03-12,3454744,41.35736479226694
ADBE,2013-03-13,2892454,41.56599809267362
ADBE,2013-03-14,2762856,41.64473161782812
ADBE,2013-03-15,5473607,41.49397453771219
ADBE,2013-03-18,3312353,41.15375339359954
ADBE,2013-03-19,4760635,41.200582759456
ADBE,2013-03-20,10730182,42.44293057264387
ADBE,2013-03-21,5658654,42.28003869431213
ADBE,2013-03-22,5619389,42.77474430020889
ADBE,2013-03-25,5283023,42.73804827019746
ADBE,2013-03-26,2124366,42.72736162864609
ADBE,2013-03-27,1706931,42.6949183065969
ADBE,2013-03-28,4081495,43.19760841183747
ADBE,2013-04-01,3403804,43.42455729527875
ADBE,2013-04-02,3371508,43.63512745615397
ADBE,2013-04-03,5033316,43.69455172804339
ADBE,2013-04-04,5104491,43.94610692442754
ADBE,2013-04-05,4307749,43.45674932414322
ADBE,2013-04-08,2811516,43.49407442757291
ADBE,2013-04-09,2522149,43.90870839745291
ADBE,2013-04-10,5787368,44.95643534049949
ADBE,2013-04-11,5897629,45.06358637070878
ADBE,2013-04-12,2838692,44.94564350051841
ADBE,2013-04-15,3540959,44.96454183153082
ADBE,2013-04-16,2229559,45.14465719985999
ADBE,2013-04-17,3442315,44.82268988250355
ADBE,2013-04-18,2982136,44.74596961640714
ADBE,2013-04-19,2741888,44.6279399408284
ADBE,2013-04-22,2022956,44.56656724014337
ADBE,2013-04-23,2126755,44.94839416519495
ADBE,2013-04-24,2223355,44.76267311171416
ADBE,2013-04-25,2135187,44.9942728047034
ADBE,2013-04-26,2297643,44.9987155773585
ADBE,2013-04-29,3549602,45.25236601792574
ADBE,2013-04-30,4307846,44.91630793768546
ADBE,2013-05-01,3808217,45.09992175804006
ADBE,2013-05-02,2734159,45.5222902884441
ADBE,2013-05-03,4226286,46.76186128581708
ADBE,2013-05-06,3078062,46.7335891202471
ADBE,2013-05-07,6862831,45.70770279003256
ADBE,2013-05-08,3317724,45.33587779484193
ADBE,2013-05-09,9317027,44.09294454752467
ADBE,2013-05-10,4559481,43.99133294238948
ADBE,2013-05-13,2767824,43.65915412663217
ADBE,2013-05-14,4295047,43.9400220655777
ADBE,2013-05-15,3645049,44.74636558707913
ADBE,2013-05-16,2608080,44.74738897120829
ADBE,2013-05-17,3688024,44.53290301093958
ADBE,2013-05-20,1488868,44.35091913330885
ADBE,2013-05-21,1822987,44.08671307748717
ADBE,2013-05-22,2988634,43.50130153816009
ADBE,2013-05-23,3371641,42.93989105324485
ADBE,2013-05-24,3783734,42.28366242841846
ADBE,2013-05-28,2646054,42.93450252405523
ADBE,2013-05-29,3274577,42.58664911764706
ADBE,2013-05-30,2771076,43.21804712510659
ADBE,2013-05-31,3666178,43.1985115376195
ADBE,2013-06-03,2877187,43.22144775624938
ADBE,2013-06-04,5227866,44.46056522535386
ADBE,2013-06-05,3365747,44.13316892141472
ADBE,2013-06-06,3733602,43.58772568054353
ADBE,2013-06-07,2893526,44.19579133666112
ADBE,2013-06-10,1834329,44.08597290734824
ADBE,2013-06-11,2483869,43.45151911150487
ADBE,2013-06-12,2123623,42.9024717868129
ADBE,2013-06-13,2006447,43.0528334668744
ADBE,2013-06-14,2336979,42.99672482983132
ADBE,2013-06-17,2676770,43.45052897030055
ADBE,2013-06-18,5493496,43.68202677655056
ADBE,2013-06-19,12599668,46.06803225417712
ADBE,2013-06-20,5475435,44.82503041553971
ADBE,2013-06-21,6325681,44.54750088589236
ADBE,2013-06-24,4491527,43.83518421219375
ADBE,2013-06-25,3367884,44.02287685844838
ADBE,2013-06-26,5349922,45.65056595159703
ADBE,2013-06-27,2916446,45.9138422677115
ADBE,2013-06-28,4086034,45.64086506174461
ADBE,2013-07-01,6340493,46.57161211516204
ADBE,2013-07-02,3024649,46.12014344187114
ADBE,2013-07-03,1601483,46.46461191110082
ADBE,2013-07-05,1614563,46.8975426912211
ADBE,2013-07-08,2843276,46.82275460597991
ADBE,2013-07-09,2581055,47.05578026813338
ADBE,2013-07-10,2762332,47.03533923368205
ADBE,2013-07-11,3292892,47.71234158138085
ADBE,2013-07-12,4139097,48.37397367835281
ADBE,2013-07-15,2122706,48.24879881492087
ADBE,2013-07-16,2472518,47.59234335046791
ADBE,2013-07-17,3135777,48.15224782583285
